StartTime,EndTime,HeatDemand,ElectricityPrice,Boilers,NetProductionCost
09/02/2023 15.00.00,09/02/2023 16.00.00,"6,78","645,53","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-142,931"
09/02/2023 15.00.00,09/02/2023 16.00.00,"6,78","645,53","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,636, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-142,931"
09/02/2023 16.00.00,09/02/2023 17.00.00,"7,01","650,07","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-155,189"
09/02/2023 16.00.00,09/02/2023 17.00.00,"7,01","650,07","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,682, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-155,189"
09/02/2023 17.00.00,09/02/2023 18.00.00,"7,18","647,16","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-147,332"
09/02/2023 17.00.00,09/02/2023 18.00.00,"7,18","647,16","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,716, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-147,332"
09/02/2023 18.00.00,09/02/2023 19.00.00,"6,65","649,7","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-154,19"
09/02/2023 18.00.00,09/02/2023 19.00.00,"6,65","649,7","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,61, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-154,19"
09/02/2023 19.00.00,09/02/2023 20.00.00,"6,72","638,53","ID:72b13383-1838-40ee-abd5-bc754f598d55, Name:GM, Operation Point:1, Max Heat:3,6, Production Cost:1100
Max Electricity:2,7, Gas Consumption:1,9, CO2 Emission:640","-124,031"
09/02/2023 19.00.00,09/02/2023 20.00.00,"6,72","638,53","ID:618bbd4e-de8c-493d-a930-d4747d5e7c9a, Name:GB, Operation Point:0,624, Max Heat:5, Production Cost:500
Gas Consumption:1,1, CO2 Emission:0","-124,031"
